									landmark	id	x	y	id	x	y
31	6.705045	-3.645183	0.152522	37068	36903	5.755486	-6.298566	-0.267045	1	8	-1.658736	1.8996			
31.2	6.802687	-3.630174	0.178818	37405	37210	5.852261	-6.324719	-0.260894	1	8	-1.826868	2.53947			
31.4	6.89673	-3.613176	0.209498	37734	37504	5.949183	-6.350323	-0.255697	1	8	-1.572433	1.881388			
31.6	6.992608	-3.592791	0.229659	38065	37812	6.046227	-6.375461	-0.251276	1	8	-2.375964	2.101579			
31.8	7.091043	-3.569778	0.232289	38396	38140	6.143374	-6.400202	-0.247495	1	8	-1.811321	2.240179			
32	7.183148	-3.54799	0.266474	38724	38429	6.240607	-6.424601	-0.24424	1	8	-2.015072	2.270844			
32.2	7.276525	-3.522501	0.276117	39045	38739	6.337915	-6.448704	-0.241416	1	8	-2.148305	2.409651			
32.4	7.368915	-3.496322	0.30066	39372	39038	6.435286	-6.472551	-0.238945	1	8	-2.416918	2.528882			
32.6	7.463565	-3.466975	0.314685	39703	39353	6.532712	-6.49617	-0.236761	1	8	-2.098498	2.479129			
32.8	7.554293	-3.437443	0.33397	40025	39653	6.630187	-6.519588	-0.234808	1	8	-1.963213	2.278938			
33	7.647189	-3.405211	0.341859	40350	39969	6.727705	-6.542825	-0.23304	1	8	-2.030369	2.319802			
33.4	7.835699	-3.337849	0.339229	41001	40623	6.922856	-6.588815	-0.2299	1	8	-2.067686	2.371072			
33.6	7.933342	-3.303393	0.340105	41339	40960	7.020484	-6.611589	-0.228461	1	8	-2.217295	2.780219			
33.8	8.027773	-3.269978	0.347994	41670	41282	7.118144	-6.634225	-0.227067	1	8	-2.10695	2.862821			
34	8.119919	-3.236552	0.373415	42004	41587	7.215835	-6.656726	-0.225691	2	8	-2.479823	3.137264	9	-0.068583	9.717265
34.2	8.212185	-3.200402	0.364649	42322	41915	7.313557	-6.679092	-0.224301	2	8	-2.528119	3.012696	9	0.393246	9.968934
34.4	8.304191	-3.165282	0.371662	42647	42232	7.41131	-6.70132	-0.222862	2	8	-2.57355	3.26217	9	-0.208955	9.791775
34.6	8.394949	-3.129907	0.374291	42966	42548	7.509096	-6.723402	-0.221334	2	8	-2.653953	2.940273	9	-0.077351	9.881737
34.8	8.483185	-3.095246	0.416366	43299	42833	7.606918	-6.745328	-0.219658	2	8	-2.597792	3.317869	9	0.111792	9.78464
35	8.574375	-3.05492	0.418119	43625	43157	7.704778	-6.767079	-0.217751	2	8	-2.474392	3.12645	9	0.123654	9.537521
35.2	8.658205	-3.017673	0.411107	43920	43460	7.793558	-6.786617	-0.215341	2	8	-2.447491	3.281408	9	0.180412	9.037606
35.4	8.743419	-2.980524	0.423379	44230	43756	7.884245	-6.806024	-0.203415	2	8	-2.383861	3.437691	9	0.237258	9.054025
35.6	8.835862	-2.938866	0.433021	44566	44081	7.982632	-6.825194	-0.181451	2	8	-2.776186	3.372538	9	0.148474	9.58499
35.8	8.92414	-2.898057	0.483861	44912	44369	8.081395	-6.842342	-0.162757	2	8	-2.631213	3.179645	9	-0.227974	9.388394
36	9.012267	-2.851744	0.504022	45248	44682	8.180436	-6.857806	-0.147302	2	8	-2.431979	3.665608	9	-0.067363	9.029981
36.2	9.103875	-2.801219	0.49175	45582	45030	8.279687	-6.871873	-0.134492	2	8	-2.483996	3.656413	9	-0.489876	8.91723
36.4	9.190552	-2.754791	0.524183	45921	45332	8.379098	-6.884778	-0.123842	2	8	-2.896107	3.566941	9	-0.051315	8.731588
36.6	9.280194	-2.702967	0.516294	46254	45674	8.47863	-6.896712	-0.114944	2	8	-2.571352	3.973784	9	-0.157236	8.899016
36.8	9.367439	-2.653442	0.528566	46588	45994	8.578257	-6.907834	-0.107482	2	8	-3.038843	4.318633	9	-0.22293	8.826843
37	9.455131	-2.602231	0.533825	46922	46322	8.677958	-6.918272	-0.101199	2	8	-2.910033	4.107668	9	0.05412	8.049864
37.2	9.542023	-2.550871	0.546097	47258	46644	8.777719	-6.928132	-0.095882	2	8	-2.445715	3.974745	9	-0.1641	8.283309
37.4	9.631294	-2.496617	0.543467	47597	46986	8.877528	-6.937501	-0.091353	2	8	-2.859951	4.518242	9	-0.202637	8.279827
37.6	9.719262	-2.443471	0.538208	47929	47324	8.977375	-6.946451	-0.087472	2	8	-2.78495	4.502547	9	0.192885	8.496713
37.8	9.803558	-2.393147	0.564505	48264	47629	9.077254	-6.95504	-0.084125	2	8	-2.941259	4.701252	9	-0.060699	8.026174
38	9.889352	-2.338818	0.55048	48587	47968	9.17716	-6.963318	-0.081216	2	8	-2.99442	4.370835	9	-0.015351	7.634713
38.2	9.973547	-2.287142	0.569764	48920	48279	9.277088	-6.971322	-0.078664	2	8	-2.858455	4.640881	9	-0.163423	8.316552
38.4	10.056988	-2.233687	0.580283	49249	48596	9.377035	-6.979086	-0.076403	2	8	-2.619268	4.769819	9	-0.433664	7.600095
38.6	10.141658	-2.178179	0.575024	49576	48929	9.476999	-6.986636	-0.074375	2	8	-3.127087	4.666272	9	0.055588	7.61869
38.8	10.223272	-2.125287	0.57853	49895	49244	9.576978	-6.993993	-0.072533	2	8	-2.931617	4.639965	9	0.181166	7.617384
39	10.305856	-2.071354	0.589925	50223	49559	9.676969	-7.001172	-0.070835	2	8	-2.748006	5.107632	9	-0.287735	7.360927
39.2	10.387055	-2.016996	0.597814	50546	49873	9.776972	-7.008188	-0.069243	2	8	-2.853535	5.074839	9	0.067902	7.17567
39.4	10.47188	-1.959235	0.589925	50876	50212	9.876985	-7.015048	-0.067724	2	8	-2.803778	5.32072	9	-0.08165	6.959404
39.6	10.555756	-1.903085	0.591678	51206	50540	9.977009	-7.021758	-0.066246	2	8	-2.964768	5.346421	9	-0.193108	7.366867
39.8	10.638133	-1.847729	0.592555	51530	50863	10.077043	-7.02832	-0.064776	2	8	-2.710427	5.44104	9	-0.126312	6.94368
40	10.718934	-1.793328	0.596938	51850	51178	10.177086	-7.034735	-0.063279	2	8	-2.907226	5.419464	9	0.854773	6.905659
40.2	10.798481	-1.739264	0.627617	52181	51474	10.277139	-7.040996	-0.061714	2	8	-2.943763	5.519159	9	-0.078082	7.029071
40.4	10.878692	-1.681073	0.617099	52498	51803	10.377202	-7.047095	-0.060029	2	8	-2.578047	6.266587	9	0.012134	6.562729
40.6	10.962888	-1.621333	0.607456	52829	52145	10.477276	-7.053016	-0.05815	2	8	-2.614765	5.638803	9	0.282832	6.701909
40.8	11.039217	-1.568274	0.60921	53133	52447	10.570243	-7.058325	-0.055858	2	8	-2.868371	5.753522	9	-0.471138	6.474269
41	11.12124	-1.511043	0.598691	53453	52779	10.667738	-7.063354	-0.044091	2	8	-3.22863	5.851926	9	-0.057889	6.465134
41.2	11.204747	-1.454073	0.627617	53799	53092	10.767921	-7.066699	-0.022721	2	8	-2.968844	5.960017	9	-0.356872	6.470403
41.4	11.282102	-1.397954	0.681087	54141	53373	10.868152	-7.068049	-0.004573	2	8	-3.245033	6.125165	9	-0.318529	6.304598
41.6	11.355751	-1.338264	0.71615	54470	53662	10.968393	-7.067742	0.010426	2	8	-3.024478	6.576805	9	-0.141751	6.129863
41.8	11.427841	-1.275526	0.74683	54799	53956	11.068622	-7.066064	0.022857	2	8	-2.867232	6.077323	9	-0.409214	6.456069
42	11.502925	-1.206021	0.749459	55134	54288	11.168827	-7.063248	0.03319	2	8	-3.136365	6.81086	9	-0.431699	6.142748
42.2	11.577265	-1.136841	0.751212	55466	54618	11.269002	-7.059484	0.041822	2	8	-2.817242	6.704094	9	-0.175034	5.987379
42.4	11.648345	-1.070462	0.775756	55797	54921	11.369144	-7.054926	0.049059	2	8	-2.793404	6.769865	9	-0.549744	5.882557
42.6	11.719307	-1.000856	0.796793	56133	55233	11.469255	-7.049703	0.055151	2	8	-3.267705	6.984939	9	-0.318315	5.821986
42.8	11.786752	-0.931856	0.827473	56465	55530	11.569335	-7.043916	0.060305	2	8	-3.118467	7.300186	9	-0.176014	5.622375
